,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,82,134,0.8097074,0.53577113,-0.083011955,0.72134596,-0.6606163,0.83249384
1,16,71,131,0.19299787,0.078704454,-0.78180116,-0.90800315,-0.38174346,-0.3611894
2,16,146,51,0.33943918,0.09372808,-0.609673,0.04921281,1.3016534,-0.36769322
3,16,134,45,0.17470975,0.30936873,-0.34421295,-0.19263282,-0.06405632,-0.41858968
4,16,69,110,0.016069848,0.06594893,-0.5871204,0.3733967,1.3962175,-0.6231116
5,16,48,108,0.0065774377,0.59088546,-0.22210824,0.41196603,1.0654776,0.15170094
6,16,88,160,0.22112346,0.51338106,-1.3150892,1.2268898,-1.8973432,-0.38199165
7,16,125,41,0.891307,0.19244704,-1.2021087,-0.014157588,-0.3506449,0.7963842
8,16,126,151,0.61556697,0.39507687,-0.13252802,-0.6698696,0.014978497,-0.8563482
9,16,163,26,0.023049826,0.27064568,0.7563987,-0.8010344,-0.47249568,-2.0091436
10,16,106,139,0.538124,0.6249567,-0.14914075,-0.7231854,0.032815065,-0.7628564
11,16,82,87,0.3328846,0.39389834,-1.2830147,-0.91804576,1.1775749,1.812847
12,16,131,164,0.19973484,0.33016634,-0.6333653,-1.3356197,-0.73700225,-1.682559
13,16,164,62,0.9253771,0.14616288,-0.79113597,-0.22482567,-0.0755575,1.2864379
14,16,115,111,0.76303893,0.08326912,-0.80611205,0.10922828,2.3283753,1.0184493
15,16,108,57,0.40026155,0.06112781,-0.75608444,0.0930825,1.9418083,-0.5944227
16,16,28,124,0.06356559,0.6991646,0.19760165,0.0033922922,0.6763284,0.08590433
17,16,31,96,0.01951791,0.20172909,0.9402814,-0.26755202,0.39983746,-0.70180184
18,16,72,130,0.35086423,0.20258741,-0.5195219,-0.049795657,-1.5441972,-0.37727314
19,16,144,52,0.90961355,0.72941256,-1.059938,0.12931556,-1.2095401,0.022937348
20,16,126,114,0.47425076,0.07904118,-0.7579561,-0.20174246,1.6636215,0.793763
21,16,145,124,0.35190445,0.5307222,0.13721722,-0.9916319,1.6346257,0.122444935
22,16,37,71,0.02605719,0.36067212,-0.93956596,-0.567469,0.96842706,0.9285873
23,16,72,25,0.0076029655,0.43198824,-0.7007117,0.28867963,-0.1274068,-0.32640335
24,16,153,107,0.7781975,0.19351672,-0.8591568,-0.1794619,0.6025758,2.6512022
25,16,91,77,0.054223202,0.45829523,-0.11530825,0.69700354,1.2883008,0.33931297
26,16,132,80,0.87563145,0.31611663,-0.9116919,0.2562605,-0.21180628,1.3724202
27,16,37,157,0.002678791,0.70112664,0.30642894,-0.25202474,-3.1391165,-2.7180462
28,16,37,66,0.0106741255,0.32959723,0.81437165,-0.64264923,-0.15495339,0.4003566
29,16,157,115,0.4552997,0.13163954,-0.05844206,-0.13100874,1.8709173,0.3208377
30,16,66,60,0.008014661,0.79787046,-0.0061145746,0.33409637,0.56356984,0.33766982
31,16,133,18,0.015175657,0.26040024,-0.82145005,-1.0913435,-0.4555536,0.112991266
32,16,163,8,0.095159166,0.3433189,-0.709801,-1.1062274,0.40114662,-0.07994808
33,16,110,118,0.16030362,0.45135728,-0.305743,0.30959037,1.5983804,0.27457199
34,16,153,45,0.1116925,0.09231478,-0.39422345,-1.212367,1.8985323,-0.5287886
35,16,132,15,0.007359125,0.1756478,-0.15607135,0.06883577,0.06151632,0.124074824
36,16,66,68,0.0011733297,0.38679272,0.24897182,0.32302704,0.5794754,0.82633704
37,16,28,118,0.033693105,0.33591348,0.279928,-0.03467037,0.15010105,0.2378592
38,16,107,81,0.19529286,0.20435666,-0.12423045,-0.29331434,-0.44932774,-0.61597615
39,16,80,69,0.2608477,0.3923649,-1.2031722,-1.1693699,0.80439985,0.70844305
40,16,160,94,0.6652168,0.1787906,-0.86207205,-0.7243387,-1.3336432,-0.8639443
41,16,9,150,0.0050996584,0.71807945,-0.047458805,1.1805601,0.12774411,0.10398542
42,16,38,66,0.030374471,0.3193217,-0.7314733,-0.8865383,-0.3074855,0.35248086
43,16,62,125,0.0094432,0.53841066,-0.32214502,0.07918295,0.959976,-0.52695894
44,16,156,39,0.07211438,0.10544616,-0.0033346678,-0.6415211,-1.1173235,-2.1910899
45,16,43,81,0.021997554,0.8346645,-0.0366817,1.2510991,-0.3648014,0.083235115
46,16,153,70,0.9739144,0.19545345,-0.78673935,0.10206229,0.19805954,2.6804364
47,16,101,122,0.9453109,0.57109153,-0.69362533,0.18513834,0.7294399,0.3385815
48,16,43,103,0.02847312,0.45131335,-0.048849016,1.1395414,0.3283652,-0.03220944
49,16,149,130,0.9231963,0.49437356,-0.19036628,-0.8395798,1.193758,-0.6352346
50,16,85,147,0.976026,0.14717111,-0.7625272,-0.09421578,-0.21666542,0.8659042
51,16,35,144,0.24329738,0.24498954,-0.7915968,-0.83994585,1.4440248,0.048771616
52,16,106,63,0.34741232,0.7362466,-0.72683746,1.09066,1.971109,0.8401282
53,16,40,168,0.006041956,0.87284577,0.7425434,-1.0309882,-0.61090285,-1.6692997
54,16,78,54,0.026203223,0.3860054,-0.4122347,0.23272423,-0.26925737,-0.32704675
55,16,32,136,0.0071829227,0.5304869,-1.6973859,0.026284428,1.5205929,-0.22135435
56,16,118,166,0.94370574,0.77269286,-1.1613804,0.2588596,-2.5467172,0.78816193
57,16,88,162,0.31655145,0.10654339,-0.9960036,-0.072257146,2.1673818,0.5827452
58,16,83,112,0.66560256,0.110669434,-0.43751708,-0.2131027,-0.94562995,0.098529726
59,16,117,63,0.6026032,0.13553837,-0.2414999,-0.6711115,0.55505824,-0.62260413
60,16,129,111,0.8681385,0.20423576,-0.7631607,0.030226145,1.2981479,1.5780619
61,16,124,13,0.023002248,0.16770886,-0.24957596,0.04081832,-1.2344124,0.4945784
62,16,50,61,0.1756405,0.25511825,-0.53366846,-0.62197083,0.12182576,0.16893284
