,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,161,107,0.52153724,0.3403997,-0.31192744,0.69001746,-0.3262675,0.73391783
1,16,95,76,0.9571314,0.06173468,0.10139868,1.2797853,-0.6948364,0.27996293
2,16,83,118,0.609628,0.05527034,0.28705317,0.9249576,0.40023983,-0.103255056
3,16,170,95,0.2031151,0.1291812,-0.47929883,0.31158656,-1.5600418,-0.100220636
4,16,75,115,0.8013445,0.047079284,-0.27859908,1.0737157,-0.021223133,0.3379761
5,16,92,148,9.450474e-06,0.5797062,-2.724447,-1.1893245,-0.23712608,-0.2945156
6,16,61,53,0.022924555,0.22407627,0.14641498,1.0556421,0.77461237,-0.2323434
7,16,107,18,0.07851255,0.15781301,-0.4356704,0.05475373,1.1213493,-0.11930526
8,16,116,46,0.6148744,0.12789705,-0.39171275,0.31469923,-0.13467163,0.07914094
9,16,155,99,0.2923056,0.14603369,-0.36963066,0.53880465,0.11573513,0.61237806
10,16,156,101,0.13930067,0.10889803,-1.2434554,-0.17244191,-0.80815125,-0.6818689
11,16,131,52,0.04501875,0.10212743,-0.3097252,0.28967226,-0.15866388,-0.029753478
12,16,120,144,0.22335508,0.7365238,-0.57117057,1.3533907,-0.06439731,0.5048056
13,16,81,131,0.035114743,0.04189996,-0.8387889,0.1382848,0.5683096,-0.45487708
14,16,112,105,0.5189105,0.08335445,-0.48434028,1.120471,-0.4840504,0.38447717
15,16,92,133,0.002229055,0.8898108,-2.3586454,0.52278924,-2.5092254,0.067393444
16,16,164,149,0.03187308,0.040716894,-0.17397976,0.7503593,-0.6790617,-1.3470166
17,16,107,144,0.46664384,0.10438454,-1.1849489,0.34709427,0.23976143,-0.19408053
18,16,106,99,0.553459,0.54999167,-1.6836525,1.373376,-0.11621396,0.4581439
19,16,115,51,0.9763072,0.841714,-1.2299683,1.6471208,0.31762788,1.6603637
20,16,69,127,0.0036045525,0.8778497,0.4958007,-0.787818,-0.8766799,-0.10135156
21,16,160,83,0.43591642,0.85707337,-1.4290794,0.5056011,-1.529264,-0.05368772
22,16,133,132,0.66901326,0.32083762,-1.2546865,-0.01788921,-1.3234543,-0.23534085
23,16,93,88,0.92061806,0.029730733,0.7473559,0.8078452,-0.44040745,-0.6004883
24,16,65,82,0.21320519,0.014415482,-0.36822227,0.32443643,1.6036079,-0.25177354
25,16,75,147,0.049445257,0.603734,-2.333387,-0.1211824,-2.1745963,0.8186213
26,16,53,98,0.46372354,0.055497944,-0.7289621,-0.08642662,0.72752213,-0.7813152
27,16,66,60,0.027321149,0.0965153,-1.0826494,0.22518596,1.3062689,-0.19608396
28,16,148,183,0.06743504,0.08906127,0.8864784,-1.8604687,-1.6263348,-1.8729413
29,16,51,49,0.24782676,0.17727226,-0.730221,0.09390133,0.79835045,-0.15705414
30,16,132,113,0.04648945,0.80168456,-0.9963976,1.0482702,-1.464344,0.75861764
31,16,43,36,0.04068795,0.28585243,0.37524647,0.094283246,-0.32397416,0.29316685
32,16,119,139,0.0010116308,0.6787465,-2.4543254,0.38323936,-2.8388894,0.46461946
33,16,79,92,0.36267844,0.12551749,-0.35537216,-0.26295394,0.4170628,-0.07492388
34,16,30,148,0.13818821,0.048214834,-0.542767,0.46930072,0.4878589,-0.37037113
35,16,32,180,0.2488238,0.63695824,-1.2282048,-0.34005973,-1.1066144,-0.20523539
36,16,145,89,0.15792605,0.88431096,-1.607755,0.27716526,-1.6267079,0.7570603
37,16,108,146,0.03694415,0.84532654,-0.7274216,0.3119223,-0.8880299,0.09213328
38,16,146,74,0.0071901847,0.91590357,-0.65403575,0.21192324,-0.48313755,0.12448579
39,16,134,62,0.63656497,0.023357358,0.11597154,0.26511323,-1.4625703,0.9672151
40,16,149,78,0.00024845343,0.8655852,-1.624357,-0.087029465,-3.4844124,0.5507979
41,16,64,69,0.058413018,0.04166489,-0.91956675,0.3449925,0.063578494,-0.9830959
42,16,83,109,0.7516126,0.96370333,-1.4235048,2.3485131,0.67218417,0.12501106
43,16,95,93,0.56542075,0.052231174,-0.32639152,0.7690664,-0.28904998,0.37111714
44,16,80,110,0.70501924,0.48385155,-0.89513206,1.8063419,-0.43632522,0.80333084
45,16,82,50,0.23608527,0.15362269,-0.5118164,0.27378127,1.5846128,-0.29202637
46,16,155,107,0.1991151,0.020765357,-0.1271465,0.122163765,-0.28294006,-0.20702009
47,16,117,134,0.019027023,0.719331,-1.5393068,-1.252441,-2.2428205,-0.22013019
48,16,60,57,0.0036317948,0.06351628,-0.3693277,1.2861893,1.768629,-0.25844845
49,16,139,90,0.7069098,0.86416477,-1.7688148,-0.8496148,-1.0342948,-0.1290167
50,16,114,45,0.54443985,0.027807806,-1.125889,0.5239567,0.8594986,0.6648201
51,16,110,132,1.9274932e-05,0.46914005,-2.2505598,-0.40717965,-3.0941923,-0.310787
52,16,81,75,0.89835966,0.16531688,-0.6323464,1.3079785,-0.7850791,1.221476
53,16,57,66,0.010934798,0.1620884,-0.46961725,1.0427374,0.23895559,-0.16066484
54,16,95,126,0.25100696,0.5973269,-0.05837901,0.77325934,-0.45318547,-0.79048365
55,16,125,88,0.73172796,0.46147346,-1.0283506,1.9169838,-2.2374456,0.8701947
56,16,131,75,0.66060007,0.016881498,-1.4372652,0.30727232,0.49960637,0.2581553
57,16,96,113,0.9323743,0.07936409,-0.17321333,1.4467607,-0.65198255,0.15517545
58,16,155,73,0.31219333,0.26371285,-0.9415197,-0.69496185,0.93418676,0.018494358
59,16,120,45,0.6136348,0.30210721,-0.123351,0.55142814,-0.63898635,-0.30295599
60,16,75,87,0.7664194,0.09674695,0.016661754,0.101091534,-0.011356108,-0.9822898
61,16,156,109,0.04369628,0.06910999,0.37157258,0.1398008,-1.3163323,0.93330926
62,16,32,181,0.108628064,0.63518775,-1.1643462,-1.1591645,-0.35287964,-0.38007134
63,16,56,60,0.044679888,0.03709429,-0.26112217,0.13439494,2.139354,-1.2189624
64,16,115,139,0.008801865,0.6357337,-2.1254265,-0.4868462,-1.7376934,-0.35332307
65,16,144,125,0.051054247,0.89779735,-1.0479999,1.241162,-2.089908,0.3492402
66,16,102,65,0.94228923,0.9235317,-1.6430131,0.7690147,0.6084935,0.7949405
67,16,122,54,0.66990876,0.16245148,-0.7299311,0.41055593,2.2846177,0.5736336
68,16,67,95,0.08432176,0.17863882,-0.56634855,0.60632396,0.65217537,-0.17962591
69,16,149,87,0.00011630181,0.8412206,-1.7776109,-0.62138444,-2.0659597,-0.26918793
70,16,187,122,0.03103339,0.10533561,-0.26419058,-1.2484818,-0.27986032,-0.1671401
71,16,135,60,0.44363016,0.009265142,-0.68261147,0.7557155,-0.7393109,0.102978855
72,16,96,63,0.9375445,0.41322008,-1.2871034,0.28737336,1.3290752,0.9788842
73,16,164,80,0.01874049,0.034941215,0.25978604,-0.70428437,1.3254824,0.072953574
74,16,54,75,0.049106084,0.48510006,-0.24737693,0.51758164,0.52438396,-0.838341
75,16,125,113,0.011149082,0.64109755,-1.5842538,-0.0072066723,-0.18725258,0.44331646
76,16,54,121,0.06203307,0.7544772,-0.5237398,0.7362342,-1.1629205,0.8787831
77,16,81,73,0.89077854,0.42065912,-1.1106575,0.6737294,0.24668634,0.68814623
78,16,79,119,0.58548725,0.023028826,-0.28964078,0.5104034,1.1145102,0.875795
79,16,108,18,0.0974169,0.14534429,0.66951585,-1.2375914,1.9905009,-0.59743464
80,16,78,82,0.7752531,0.032892082,0.60908383,0.5294903,-0.6283135,-1.0859686
