,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,83,71,0.18705255,0.09073279,-1.6694168,0.051624883,2.213919,-0.6486676
1,16,191,111,0.9917757,0.89958376,0.27008298,-0.56133944,-1.0634582,-1.2572688
2,16,193,117,0.24492356,0.807184,1.8132132,-0.40502107,-1.261409,-0.693258
3,16,174,185,0.5659689,0.4055911,0.34398088,-0.654762,0.3360138,-1.1465554
4,16,223,141,0.09846681,0.027919605,0.27084407,-0.75708985,-0.47250664,-0.08570864
5,16,119,103,0.029882211,0.06295198,-1.7031169,0.14672016,1.1544806,-0.5924511
6,16,42,105,0.16256623,0.15471247,-0.2600793,-0.90075266,0.58600014,-0.94813645
7,16,187,99,0.71617264,0.5892346,-0.912827,1.6463225,-1.7595001,0.5927615
8,16,155,113,0.4827661,0.1430448,-1.1775253,-0.7037003,1.0766548,-0.13669296
9,16,125,134,0.5645155,0.270444,0.69124025,-1.6819313,0.24945292,-1.8924551
10,16,103,38,0.5699327,0.04227355,-2.0631042,-0.8886292,-0.17088664,0.898901
11,16,200,73,0.49356747,0.92922497,0.30029085,-0.43132412,-0.068251565,-0.54118407
12,16,129,48,0.006129862,0.16021597,-0.44105458,0.51714474,1.4306167,-0.4707097
13,16,151,140,0.55226517,0.093565464,-0.4038278,-0.60502183,-0.19963174,-0.91958946
14,16,241,95,0.38399175,0.13861613,0.19013499,-0.9247613,-1.5741321,-0.50121045
15,16,178,78,0.714383,0.45941788,-0.13080788,-0.7031302,-0.9039854,-1.4538695
16,16,176,82,0.8440298,0.17724116,-0.6942175,-0.22620425,-0.84223944,0.53447276
17,16,225,165,0.9696269,0.8535102,0.5575956,-3.5828354,-0.023497073,-2.1311114
18,16,187,56,0.111780494,0.036242623,-0.24494533,0.57014894,-0.99830645,-0.08406052
19,16,126,27,0.008849932,0.041352145,-1.0708636,-0.4494211,-0.030083505,-0.8490577
