,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,136,49,0.55056167,0.06383673,0.47647056,-0.10517978,-0.39682263,1.1731757
1,16,171,143,0.84977,0.04706073,-0.07454551,0.13352606,-0.0266163,2.2501497
2,16,24,159,3.195388e-05,0.57196105,-3.1806774,1.0939596,-2.1400783,0.68976194
3,16,22,55,0.00010740668,0.33133373,-1.9254348,0.47803622,-4.0096264,-0.15971856
4,16,132,177,0.00010873596,0.71075225,-1.9530158,-0.4414744,-2.4162002,-0.7707579
5,16,168,44,0.009315146,0.051890913,-1.043707,0.47949025,-1.4078133,-0.7370958
6,16,214,91,0.04098907,0.14418347,-0.6061697,-0.68107706,-0.30079812,-0.745369
7,16,57,130,0.0016565945,0.29148647,-2.2518287,0.66191936,-2.6245522,-0.22683163
8,16,165,116,0.90490955,0.8316989,0.30357257,-0.37953067,-0.5500095,-0.6687592
9,16,202,87,0.05338206,0.057349857,-1.0598307,-0.62123495,0.15287502,-0.8834986
10,16,45,106,0.27218965,0.8469676,-0.06718451,-0.21695475,-0.49995956,-1.7270409
11,16,153,185,7.7460936e-05,0.8093326,-2.702433,0.110973015,-3.8477237,0.29524103
12,16,61,171,0.00011714556,0.5163559,-1.3348905,0.49935195,-2.3489475,0.12785593
13,16,190,195,7.396066e-06,0.4897676,-2.0082674,-1.8568597,-2.5039518,-0.7233108
14,16,60,180,0.0075575765,0.7164612,-1.0087677,1.0437732,-2.170862,-0.96662354
15,16,39,95,0.0012194316,0.51636475,-0.67498535,-0.34120083,-2.8919747,-0.15263273
16,16,36,110,0.0034075885,0.745923,-0.7665561,1.5066527,-2.3668525,-0.7746236
17,16,153,162,0.82546985,0.10053716,-0.7048704,-0.080901586,1.1815182,1.4739445
18,16,168,155,0.8521885,0.8709603,-1.4652232,1.6051265,-2.8497818,-0.5546324
19,16,141,152,0.9599661,0.61892223,-0.7364251,-0.39936844,-1.56596,1.7246337
20,16,80,113,0.016303653,0.55741537,-2.7902236,-0.770952,-0.64198524,-0.85448545
21,16,85,45,0.32544473,0.64723325,1.0408312,-1.5580995,-1.5818505,-0.4766303
22,16,180,167,0.07104225,0.14364348,0.03718926,-1.0238155,-0.6161351,-0.7798942
23,16,59,75,0.023201227,0.07160281,-0.3659573,-0.32156423,1.1166407,-0.4987
24,16,114,33,0.035141453,0.420284,-0.8324617,0.43961582,0.60969824,-0.15819071
25,16,166,87,0.64774865,0.8103633,-2.1387937,-0.9687066,-1.8243266,-0.9360675
26,16,84,27,0.0017946836,0.4345193,-1.54375,-1.5189044,-4.2771206,-2.358093
27,16,206,114,0.7133375,0.52341145,-1.0225644,0.111433506,-1.1050469,-0.55570775
28,16,122,110,0.34764275,0.103624605,0.016305614,-0.42760262,1.896,-0.3781133
29,16,43,133,0.045376778,0.44593647,-0.8362742,-1.027087,0.0726964,-0.6401811
30,16,65,177,0.00073652365,0.74400276,-1.8336941,0.5149902,-3.2203612,0.058661982
31,16,98,175,5.1116556e-05,0.7182509,-1.7499716,0.22839056,-3.6139998,-0.51033854
32,16,23,115,0.0064443466,0.60509175,-1.4452091,-0.04009104,-3.4716654,-0.43917558
33,16,87,22,0.04299564,0.04479279,-1.0407159,0.36594063,-0.32921925,-0.7116133
34,16,60,50,0.0005831667,0.29804775,-1.614764,-0.65856665,-3.9055655,-0.6433237
35,16,217,113,0.10397005,0.13871385,-0.83634317,-0.12312646,0.8948357,-0.932094
36,16,53,16,0.23201618,0.25947613,-1.0943705,-0.8689322,-0.29226184,-0.12693745
37,16,77,152,0.0009338503,0.80585057,-2.4090116,-0.017437622,-3.2348926,-0.7807917
38,16,75,192,0.005661819,0.64762944,-1.0823438,0.43043125,-2.0756,-0.6637386
39,16,38,2,0.03842433,0.39700082,0.13951616,-0.54671705,0.03528096,0.19643408
40,16,21,151,0.00016303285,0.6589217,-0.8833857,-1.1586497,-0.981622,-0.63432217
41,16,22,81,0.011547765,0.67609304,-0.4457394,-0.21373586,-1.4856982,0.60782766
42,16,85,92,0.7387078,0.7129805,-0.33650303,-0.08449048,-0.3145612,-0.0646264
43,16,31,68,0.021061577,0.03361384,0.06168819,0.54652953,0.10275377,0.6272179
44,16,96,110,0.6853148,0.15132087,-0.9094764,-0.17898469,-0.7489593,0.89980376
45,16,186,99,0.92179316,0.8732393,-1.4786612,1.0372858,-2.2525942,0.047377776
46,16,27,39,0.00041507895,0.7706858,-2.002674,-0.352413,-2.6649477,-0.37741536
47,16,71,120,0.0062394203,0.5888621,-1.2596375,0.6167297,-2.0584795,-0.8152712
48,16,182,188,1.874222e-05,0.35102633,-2.2251568,-1.5464061,-2.5324028,-0.69471145
49,16,81,178,0.038532175,0.8667236,1.0324504,0.2354006,-1.1383141,-0.34221387
50,16,83,162,0.13785699,0.0251311,-0.8656189,0.1267898,0.81046647,-0.0948701
51,16,124,139,0.95554537,0.9443095,-0.21194424,-0.069933675,-0.2449011,0.33160752
52,16,175,72,0.10238937,0.03686621,0.62996364,0.39333385,0.248197,0.3954797
53,16,89,166,1.5263098e-05,0.73808193,-2.5084562,0.09532411,-4.3534446,-0.38400334
54,16,46,118,0.0017398966,0.40125698,-1.3978474,1.0412998,-2.4119892,0.41206867
55,16,43,5,0.051796377,0.77008426,0.1861401,0.5649321,-0.06388282,0.18241425
56,16,171,68,0.20576754,0.031352386,0.17527436,-0.057204608,-0.34485015,1.1852897
57,16,13,88,0.04480672,0.35353217,0.04413664,-0.4425403,0.6116629,-0.65932864
58,16,160,115,0.56276554,0.6598878,-2.2088597,0.03158452,-1.0903865,0.3841595
59,16,73,185,0.004450687,0.7066307,-0.8653076,1.2133431,-2.4875767,-0.3758575
60,16,155,156,0.83759594,0.30933058,-0.13346733,-0.8931811,-0.036664855,-0.028939692
