,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,53,115,0.54550236,0.044542313,-0.83071864,1.1986378,-0.33817378,1.8238807
1,16,102,104,0.86591923,0.031711556,-0.67579734,1.1220462,0.90449464,0.48591244
2,16,142,168,0.7573528,0.10457498,-1.2186147,0.27605516,-0.30849445,0.19579172
3,16,44,162,0.93194664,0.22694248,-0.6193426,1.3137991,-0.9821981,1.5789174
4,16,71,59,0.21925245,0.49111187,0.61514705,-0.19515768,-0.54226196,-0.17703027
5,16,21,78,0.004337176,0.08310029,-0.7161629,-1.0404364,-2.9794722,-1.1467255
6,16,62,91,0.58783007,0.01581783,-0.6702505,0.3415071,0.35366783,0.36564866
7,16,12,94,0.023937246,0.16767135,-1.1349151,-0.52936876,-2.2729478,-1.1291265
8,16,155,171,0.9202332,0.86755764,-0.5951994,-0.58797455,-0.8706299,0.1493101
9,16,196,122,0.9123736,0.9544424,-0.8222845,1.522921,-0.43785012,0.0039787637
10,16,129,68,0.5669342,0.06495333,0.27906635,-0.6236094,2.111234,0.17863637
11,16,199,24,0.005351213,0.7195057,-1.6525272,-0.35021985,-1.6781838,-0.9264414
12,16,52,74,0.00744472,0.05652103,-0.9707705,-0.6700112,-0.64813787,-0.91355604
13,16,63,137,0.6491532,0.029045248,-1.7870129,0.21717513,0.09672635,1.288238
14,16,96,112,0.6803987,0.8676512,-0.94168454,1.1842251,0.34660462,-0.2526506
15,16,173,121,0.4261443,0.030124981,-1.1434617,0.7697811,0.72551775,-1.0505283
16,16,148,78,0.42536828,0.016245812,-1.2107332,0.3638147,0.65706635,0.27589887
17,16,63,70,0.20240884,0.032369785,-0.42638415,0.8021214,-1.4850627,-0.61302674
18,16,81,116,0.38608524,0.09304701,-0.18864048,-0.20770898,-1.397084,-0.8076328
19,16,108,105,0.2160994,0.13198598,0.23468603,-0.04204544,1.6926123,-0.307932
20,16,134,117,0.66632205,0.10507767,-0.61376643,0.4493069,1.2666036,1.6584299
21,16,10,135,0.005328624,0.023135029,-1.1908159,0.29782653,0.65275633,-0.8937371
22,16,165,134,0.96577924,0.5668514,-0.8406007,1.4508042,-0.42378938,2.7410214
23,16,79,73,0.49033144,0.07223122,-0.8820282,0.30060217,1.8553956,1.2096425
24,16,147,134,0.9320168,0.9773689,2.241448,-0.9123724,0.072900824,-0.1879729
25,16,178,99,0.89113176,0.6763724,-1.6635858,3.16282,-0.020622537,1.3461713
