,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,138,175,0.0061846757,0.055080365,-1.0359945,-0.44082147,1.204388,-0.56968915
1,16,35,116,0.51557845,0.075651266,0.5278399,1.6949104,-1.2826369,-0.21935284
2,16,47,140,0.47549707,0.3203291,-0.03578065,-0.014995772,-0.40785733,0.060574494
3,16,65,61,0.006008791,0.078480266,-0.53006035,0.014031513,0.91040057,-0.37356403
4,16,122,120,0.06586377,0.284855,-0.8447949,-1.0598922,1.9046304,-0.61418474
5,16,137,133,0.00043518766,0.05719289,0.09500864,0.4138584,2.414643,-0.91457367
6,16,141,104,0.24207748,0.5033934,-1.3154334,-0.3251418,0.8539292,0.122557424
7,16,108,93,0.002122834,0.02320036,-1.2487915,0.49357826,1.3989918,-1.3303354
8,16,137,178,0.10343455,0.018573133,-0.11517579,-0.25027245,-0.5760212,-1.0464176
9,16,65,120,0.39075956,0.014720143,-0.3765272,-0.20126408,1.4153314,0.18433939
10,16,184,74,0.019887192,0.17298946,0.0116146235,-1.4589344,-0.5067544,-0.5780285
11,16,48,84,0.02582914,0.051590387,-0.63330656,-0.9255538,0.91367155,-0.29143462
12,16,80,42,0.060331687,0.32057086,0.14632799,-0.18444383,-0.613487,-0.17029661
13,16,138,98,0.22353238,0.14037892,-0.6541699,-0.5105558,0.4798305,-0.3226235
14,16,112,117,0.00831707,0.11802037,-0.41917777,-0.61136496,0.33968726,-0.63872015
15,16,175,98,0.007843921,0.25559548,-0.075700514,-0.041053284,-0.25232694,-0.49680397
16,16,32,64,0.23042777,0.191202,-0.8230547,0.28604433,-0.02480701,0.2873013
17,16,74,110,0.36436906,0.29316986,-0.55458975,-0.4686628,0.73883647,0.10738841
18,16,40,89,0.55273855,0.23475984,0.17264582,0.10018075,-0.9158008,0.95793295
19,16,92,125,0.2455143,0.10080868,-0.28773406,-0.013386786,0.2230157,-0.82360727
20,16,93,118,0.4157224,0.043050837,-0.4583533,-0.27395415,2.0573623,-0.46537125
21,16,169,72,0.012165399,0.23692209,-1.0052377,0.034601387,-0.3172229,1.1203126
22,16,142,56,0.024488037,0.25210008,-0.10607832,-0.49415848,0.6776925,-0.17708065
23,16,34,85,0.08162223,0.033367746,0.5267606,0.80382913,-1.0871578,0.43660918
24,16,180,83,0.0013949748,0.3361714,-1.0661103,-0.11015875,-0.54350895,0.12704325
25,16,87,97,0.02223004,0.3084594,-0.44505215,0.5591425,0.6601184,-0.20554928
26,16,134,167,0.079433694,0.030848982,-0.39369023,-0.32524338,0.8366203,-0.89650106
27,16,155,113,0.12773624,0.61490995,-0.8248631,-1.4378508,2.1393003,0.5070082
28,16,41,79,0.013156379,0.18248382,-0.79077584,-0.13947566,0.0064753257,-0.43943214
29,16,79,44,0.10888334,0.4821921,0.3325259,-0.48909172,0.11554207,-0.09318285
30,16,48,65,0.049990986,0.12875983,-1.2646983,-0.87482774,-1.4725858,-1.2647069
31,16,26,38,0.25743237,0.028624492,-1.1643256,0.68979865,-1.9793081,-0.461007
32,16,144,148,0.04098732,0.2380273,0.0973487,0.1337357,1.3995733,-0.7221276
