,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,212,105,0.08856113,0.08856459,-0.24211723,-0.36500236,-0.93780655,-0.3969783
1,16,72,67,0.93539494,0.15301447,-0.34572896,0.4367608,0.011077992,2.1276133
2,16,151,197,0.06342209,0.1719048,-0.8421481,-0.38059932,-0.08556816,-1.2090648
3,16,74,83,0.9869886,0.9012128,-0.01446223,1.3288573,-2.3395073,0.5057653
4,16,86,196,0.007977761,0.14119923,0.33814967,0.4113231,0.398669,0.23298663
5,16,81,37,0.20443335,0.05697181,0.08986688,-0.18984883,-0.019424038,-0.21012329
6,16,156,102,0.55735207,0.032112766,-0.52526724,0.8048478,-0.23229577,1.3319033
7,16,111,197,0.11269137,0.021303378,-0.3622746,0.019729987,0.05393904,-0.7163203
8,16,63,170,0.9169903,0.95581853,0.6792589,-1.060387,-1.0471408,0.13135916
9,16,43,75,0.001519034,0.8442714,-2.6857476,-0.039677132,-1.8759663,-0.16448663
10,16,67,85,0.9471566,0.9052546,-1.185495,0.16794102,0.26001805,0.87597436
11,16,32,83,0.04266614,0.7552464,-1.7799926,0.6436908,-0.7479418,-0.038973123
12,16,103,167,0.4560445,0.08386149,0.06628954,0.25782752,-0.12781602,1.5717757
13,16,46,25,0.00068620616,0.80637157,-3.01297,0.12766865,-1.5762527,0.19236994
14,16,137,190,0.077710316,0.15779571,0.5235698,0.36410117,-0.22749068,-0.72702134
15,16,191,127,0.0023233301,0.7957512,-1.6525452,-0.102725945,-2.1526427,-0.09761959
16,16,153,159,0.06160554,0.15453199,-0.108531035,-0.046823192,0.6018085,-0.12915298
17,16,43,40,0.09869728,0.050101575,-0.6129483,-0.37340188,1.1368858,0.40539283
18,16,126,27,0.002865925,0.12406674,-1.8028587,-0.4399106,-0.034425687,-0.68408877
19,16,86,16,0.08899334,0.33923522,-0.088449895,0.40740582,-0.83939207,0.29118693
20,16,33,95,0.03783937,0.4600641,-1.1741203,-1.0770705,1.3901215,-0.19964796
21,16,102,87,0.92225766,0.2621946,-1.320892,-0.08128155,0.517774,0.75873613
22,16,26,107,0.44504505,0.060698096,0.15347132,0.98782545,-1.0378876,0.39542127
23,16,140,72,0.051647432,0.06360689,-1.4924313,-0.19624487,-0.22639927,-0.45999625
24,16,63,87,0.87912554,0.2155352,-0.5029843,-0.10356628,-0.0049879407,1.530824
25,16,56,165,0.92567354,0.9834664,0.5324543,-0.5992606,-0.86742514,-0.46693185
26,16,90,201,0.029843444,0.09803599,0.59506774,-0.46480387,-0.09811397,-0.042320684
27,16,89,26,0.057655256,0.038371798,-0.18952875,0.09265047,3.454992,-0.49231875
28,16,156,59,0.19633646,0.014204635,-0.235503,-0.52985716,2.1555111,-0.44265845
29,16,21,55,0.11627658,0.021440014,-0.13059382,-0.1748912,1.625421,-0.2579405
30,16,120,146,0.21944094,0.019797992,-0.118342265,-0.15213576,1.6612834,-0.27988383
31,16,137,153,0.64399195,0.113173716,-0.14570741,0.83445543,0.6143385,-0.00963307
32,16,98,183,0.04897374,0.08793542,0.008658073,-0.6168159,1.192228,-0.03566739
33,16,167,89,0.12398784,0.01691379,-0.19764306,-0.4635641,1.0541141,-0.62573093
34,16,84,53,0.64672655,0.87877864,-1.0286576,0.059878964,-0.15894589,0.14394377
35,16,29,29,0.000895164,0.52865964,-2.1528573,0.5995915,-2.3232546,0.16760397
36,16,123,89,0.698309,0.9518075,-0.39182332,1.1879731,-1.547836,0.8417045
37,16,54,205,0.060819842,0.13196135,0.22576065,-0.38506672,0.6388034,-0.74747306
38,16,132,24,0.0014650985,0.0768594,-1.2453495,-0.26091185,-0.8177244,-0.7360736
39,16,73,40,0.65694416,0.094686374,0.077639066,1.3070363,1.786057,0.754448
40,16,66,145,0.9609693,0.29634312,0.02059412,0.31714165,-0.43516007,0.6069945
41,16,176,198,0.0513096,0.22580045,-0.36028457,-0.6677219,-0.20932886,-0.41957837
42,16,129,130,0.86923003,0.07667873,-0.0983865,0.10620253,-0.5900803,0.43294373
43,16,133,56,0.052370287,0.06473061,-1.034236,0.5883628,-0.18290783,0.633174
44,16,175,48,0.0054727336,0.26663876,-0.44265568,0.2867327,-0.80878276,-1.549348
45,16,109,44,0.059406664,0.053705096,-0.64977217,-0.089883365,-0.18096435,-0.055396285
46,16,72,57,0.67018944,0.032008328,0.15955406,0.8947162,-1.1079928,1.5626608
47,16,129,117,0.8879359,0.9678936,0.33918953,0.4383451,-0.5184763,0.2652066
48,16,36,84,0.041700702,0.8301936,-1.0782828,0.93881816,-0.63663363,-0.7673912
49,16,145,23,0.0070824227,0.7321721,-0.3050656,-1.1681302,-0.42588165,-0.042897273
