,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,64,157,0.0023172102,0.045789596,-1.5858433,0.48403203,1.1058165,-0.30804038
1,16,161,123,0.1565785,0.022778634,-0.5692131,0.17261103,0.4776314,-0.41906264
2,16,145,61,0.9200249,0.70819867,-0.87163806,1.0500797,-1.0871441,1.6901996
3,16,117,155,0.94003767,0.9690337,-1.7753102,1.9573902,-2.0738251,0.69693214
4,16,172,122,0.21759091,0.924204,-0.26446208,-0.16507691,0.21597639,0.35115683
5,16,167,134,0.4588889,0.28631303,-0.9167824,-0.16857453,-0.06935412,-0.45781133
6,16,123,148,0.26189685,0.06795002,-1.0433604,-0.4214915,0.2157844,-0.52868474
7,16,176,39,0.12478073,0.08376907,0.010758982,-0.016651105,1.798039,-0.5746383
8,16,25,181,0.0027093496,0.06709826,-0.560493,-0.98829633,1.4979934,-0.9416006
9,16,156,33,0.13873146,0.50818044,0.18020104,-0.26170424,0.6227539,-0.040270615
10,16,125,111,0.41509962,0.8733538,0.12691242,-0.71363264,-0.6418643,0.32378677
11,16,46,124,0.022092856,0.08487797,-0.18094045,-0.11596306,2.0639858,-0.84493196
12,16,75,130,0.0015304128,0.20349497,-0.99310607,1.1216263,1.4539145,-0.6950758
13,16,69,133,0.0026560351,0.12405948,-1.8405489,0.76215696,0.6317879,-0.35753235
14,16,160,18,0.04666887,0.543048,0.897593,-0.62951136,-0.11598402,-0.66013306
15,16,101,148,0.8521948,0.5509736,-0.5572069,-1.6308273,-1.943338,-0.276633
16,16,122,98,0.55828655,0.012969924,-0.57494116,0.2179684,2.1961417,-0.37220588
17,16,19,146,0.011479478,0.12909308,-0.5346698,0.02093843,0.27467218,-0.47101358
18,16,74,168,0.048583765,0.02077612,-0.7237088,0.74872535,2.0168884,-0.73897314
19,16,139,95,0.8657347,0.9342034,1.5938268,-0.48524716,0.16572797,-0.36673868
20,16,127,119,0.34026125,0.041334808,-0.6587089,0.8842491,1.4912441,-0.78814226
21,16,138,59,0.026570657,0.112883724,-0.5698208,-0.39205194,-0.15754692,-0.89817214
22,16,38,171,0.0012489159,0.24364299,-0.8521717,-0.35801068,0.48648536,-0.51080793
23,16,138,132,0.7586557,0.09020156,-0.89890295,0.54516363,-0.38586947,0.66654485
24,16,125,127,0.082749076,0.11283964,-0.7770212,0.30408826,0.7023978,-0.7980059
25,16,182,62,0.025723089,0.13459392,-0.43165,-0.368316,0.49076444,-0.51957417
26,16,178,37,0.020862205,0.035912763,-0.9987422,0.27126732,1.2689368,-1.0687068
27,16,121,99,0.24628167,0.027754033,-0.35819417,0.2546937,2.0839138,-0.4836777
28,16,52,161,0.0035901656,0.21661617,-1.71618,0.77942824,-0.0044369716,-0.24583893
29,16,130,82,0.9296614,0.90885365,0.9398466,-0.5217779,0.30882323,-0.08455273
30,16,149,71,0.85709256,0.8956156,3.6573565,-0.8554416,0.41239396,-2.0835845
31,16,56,102,0.00019849648,0.8639058,1.6019261,-0.06492806,1.2473176,-1.4878604
32,16,100,118,0.7210542,0.05061117,-0.51805353,0.23676537,2.9314597,-0.2993382
33,16,166,131,0.6440281,0.09728542,-0.28989625,-0.1515734,1.0688957,-0.6403866
34,16,163,62,0.038920447,0.017892621,0.13227025,0.21108918,1.1349095,-0.9231726
35,16,131,75,0.70359534,0.8760365,1.9062831,0.23399769,0.5407185,-0.09924848
36,16,28,119,0.009046044,0.105023086,-0.54779375,-0.75327665,0.42058414,-0.87482476
37,16,113,132,0.084362775,0.036409087,-0.56041384,0.04229554,-0.102016866,-0.83755004
38,16,172,165,0.61579657,0.06624409,-0.28539503,-0.45454353,-1.2547988,-0.68100566
39,16,36,118,0.07531782,0.63305527,0.41409665,0.29282105,1.838458,-0.33905938
