,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,107,67,0.40844932,0.13961498,-0.62463605,-0.4874924,1.9674046,-0.09656616
1,16,205,8,0.00013572392,0.65184766,-1.8641151,-0.5432476,0.43726304,-1.5068238
2,16,71,165,0.012808353,0.2171747,0.09320953,0.1396264,0.9770589,-0.9649842
3,16,211,155,0.2854767,0.100925304,0.0666807,-1.202175,2.2879443,-0.011232717
4,16,47,146,0.3375264,0.050686426,-0.28958338,-0.6020553,1.8894091,0.16201474
5,16,110,25,0.72143126,0.9059982,-0.93367857,0.94082534,-2.409144,0.044690493
6,16,73,15,0.050963916,0.53818166,-1.5035046,-0.8671351,1.7952615,-0.38497323
7,16,92,32,0.8449491,0.39311188,-0.7172565,0.8998637,-0.9862718,1.0196744
8,16,221,152,5.818149e-05,0.2299252,-2.2225964,0.7066004,1.6464757,-0.13546166
9,16,139,57,0.012633975,0.51726794,0.73696446,-0.9209232,1.4227141,-0.6229239
10,16,153,30,0.06033453,0.16603221,-0.2911866,0.27244654,0.21851908,-0.16845486
11,16,151,60,0.00054793805,0.16015193,0.5046511,0.06668364,0.59584355,-0.93159693
12,16,143,29,0.07644249,0.07166816,0.15714388,-0.4696399,-0.8337639,-0.0052645043
13,16,56,53,0.8974744,0.060108576,-0.74946284,0.09400287,0.9783097,2.1621718
14,16,45,55,0.98994476,0.92348063,-1.2368494,-0.24084385,0.33488613,1.1979035
15,16,72,28,0.9223459,0.8629483,-0.7164182,1.3539352,-1.1011598,0.83676225
16,16,171,89,0.00857814,0.46567088,-0.60408896,-1.5062288,0.7103492,-0.6395613
17,16,123,85,0.0008395188,0.31993315,-0.72871745,0.7261339,-0.43338215,0.21461023
18,16,114,32,0.5115665,0.42513785,-1.1300377,-0.40834767,1.1548687,1.1519328
19,16,79,89,0.97368586,0.9480474,-0.021575913,2.4686694,-0.3555121,-0.0033738273
20,16,132,33,0.061614837,0.09282988,-0.3350364,-1.3588021,1.7730474,-0.13630635
21,16,192,26,0.47267997,0.53419673,0.26422808,0.5401939,-0.38045225,0.09573988
22,16,87,148,0.03604389,0.39092088,-0.31987357,0.19656678,0.46416804,-0.28665957
23,16,45,157,0.06257366,0.017033424,-0.45856562,-0.0826102,1.6394011,-0.3414923
24,16,168,72,0.0063261227,0.12253969,0.37410912,-0.19224787,1.6695759,-0.94727784
25,16,100,30,0.9265472,0.92648184,-0.11724899,-0.10572751,-0.9392281,0.46484184
26,16,111,91,0.03866014,0.62190473,0.28262216,0.667945,-0.05923768,0.18659109
27,16,216,92,3.1689655e-05,0.3852201,-2.3043373,1.2989829,-0.11834192,-0.63144857
28,16,132,64,0.008805103,0.13322186,0.1693899,-0.5194234,0.021368623,-0.5460093
29,16,164,41,0.2794632,0.4695158,-1.0026361,-0.015554769,1.0444723,-0.21200454
30,16,109,20,0.9408188,0.94430196,-1.159497,0.82243454,-2.399696,1.0142404
31,16,198,17,0.038759183,0.043590423,-0.9333339,-0.17366506,0.6667434,-0.66157585
32,16,56,88,0.83021104,0.4674976,-0.33793557,-1.0787195,-0.09997335,0.24280861
33,16,16,17,0.23388171,0.22585386,-0.774658,-0.021238718,-0.766389,0.47983974
34,16,84,167,0.035810795,0.17001949,0.24544661,0.27978528,0.7034411,-0.9561361
35,16,132,21,0.024982434,0.07318383,-1.6990955,-2.1314483,0.9640615,-1.3750479
36,16,130,63,0.20715405,0.23022619,-0.72174776,0.2464849,-0.41481018,-0.18453169
37,16,83,37,0.6848909,0.720307,-0.17757551,0.6377279,0.20599312,-0.10099771
38,16,200,9,0.0019353044,0.2908334,-1.3583102,-0.37714663,1.1032798,-0.4808403
