,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,234,121,0.007438961,0.104371645,-0.8294844,-1.2680553,-0.4704162,-0.8849076
1,16,73,154,0.028151413,0.3660286,-0.18489115,-0.6136291,-0.3840613,-0.7281763
2,16,168,32,0.04019457,0.2870577,-0.9481848,-0.2672645,0.5646612,-0.880761
3,16,48,67,0.0123047745,0.42613938,0.25993863,0.47547778,-1.5600612,-0.25067654
4,16,46,25,0.008339808,0.18041922,-0.3267848,0.14566126,2.2318604,-0.7612619
5,16,54,78,0.001586874,0.52314806,-0.027102856,0.6926236,-0.21331272,0.4088409
6,16,216,152,0.003948133,0.23144273,-0.92030966,-0.5363777,-0.31562325,-0.7860017
7,16,39,117,0.01148797,0.07364695,-0.27717283,-1.0191865,0.63348997,-1.0118129
8,16,183,48,0.1928899,0.23799452,-1.1721729,-1.214746,1.0900092,0.4382737
9,16,122,143,0.03459708,0.34619245,-0.48444012,0.33913133,-0.6963848,-0.18556426
10,16,147,28,0.41415223,0.1899138,-0.6597009,-0.54898906,1.6607747,-0.66607726
11,16,192,86,0.6387582,0.40717247,-1.6589754,-1.4362723,0.75306237,-0.18550368
12,16,62,101,0.004415408,0.16914837,-0.5187199,0.033744194,-0.11186385,-0.27578017
13,16,220,179,0.06355075,0.040587164,-0.75938016,-0.8940113,0.04268987,-0.58115035
14,16,175,187,0.04199505,0.33099207,-0.5979566,0.6489588,-0.38689286,0.80987936
15,16,179,130,0.005161592,0.80211425,-0.06772724,0.41077587,1.4270782,0.30863288
16,16,76,165,0.008944431,0.07780197,-0.48012534,-0.776993,0.41840705,-0.2785734
17,16,13,98,0.0069473637,0.10053159,-0.6011046,-0.23734346,0.24641375,-0.8621382
18,16,28,50,0.0037939353,0.4219618,0.03571506,0.31391242,-0.08692844,-0.097093455
19,16,122,39,0.5136895,0.066309586,-0.6731576,-0.102526166,3.2568405,-0.09578177
20,16,26,51,0.000994937,0.07208661,-0.83629805,0.041061748,0.01913327,-0.24954271
21,16,111,156,0.022549182,0.18326393,-0.5514595,0.090304144,-1.0096045,-0.5009746
22,16,49,46,0.009476365,0.10301548,-0.033349287,-1.2176722,-0.42677906,-1.7465692
23,16,138,94,0.27159,0.20110118,-0.9183954,-1.5898182,0.4234774,-0.5061139
24,16,29,89,0.010492926,0.32952094,-0.33168685,0.035903558,-0.39625403,-0.5239994
25,16,64,158,0.033006866,0.27978224,-0.18928318,-0.6067814,-0.33287707,-0.4346499
26,16,88,167,0.004150849,0.4882937,-0.36322007,0.22901781,-0.17944604,-0.2784465
27,16,54,55,0.011472397,0.11651764,-0.5154105,-0.39840853,-1.8687378,-1.2374004
28,16,172,189,0.016318956,0.23691267,-0.51716304,-0.021997504,-0.40019748,0.2952544
29,16,118,18,0.11406666,0.2119116,-1.3960943,-0.87519073,1.5003562,-0.40309826
30,16,103,21,0.077793635,0.3464191,-1.1806778,-0.979395,-1.7787919,-1.0931773
31,16,121,122,0.0056394027,0.47082058,-0.23432025,0.36741307,0.12860559,-0.36209145
32,16,216,159,0.05358982,0.056791384,-0.4452233,-0.4117984,-0.5817651,-0.15737806
33,16,137,126,0.010917788,0.06726643,-0.49661365,-0.854899,1.0056038,-1.036251
34,16,56,106,0.0064788787,0.07605559,-0.86553293,-0.6269505,-0.42608738,-0.97561175
35,16,72,133,0.008862525,0.6985985,-0.25971434,0.9308644,-0.08254159,-0.19971399
36,16,93,59,0.06351878,0.12710416,-1.3596541,-1.8933753,0.9989362,0.38771996
37,16,45,162,0.08032487,0.14503449,-0.8343792,-0.036361106,-0.033571545,-0.21501863
