,z,x,y,pred_tumor,pred_tumor_cell,pred_Classic,pred_Basal,pred_StromaActiv,pred_StromaInactive
0,16,78,146,0.924801,0.3634536,-0.4262998,-0.7772796,-0.36938354,0.7081237
1,16,150,82,0.94343156,0.9067485,-0.20493676,0.33098763,-1.7360675,0.8598344
2,16,41,104,0.021651097,0.07686931,-0.80101067,0.50543,-0.3519441,-0.42480192
3,16,193,114,0.72731036,0.05995316,-1.0201367,0.7753035,0.92414606,2.6579719
4,16,39,152,0.020259127,0.5596704,0.2732425,0.34522066,1.4983193,-0.4494934
5,16,212,94,0.011491436,0.11688146,-0.009798011,0.100109,-0.30041438,-0.1377219
6,16,63,131,0.9694288,0.9226375,-0.23516321,-0.6189232,-2.576974,-0.31536573
7,16,37,129,0.015754845,0.07058254,-0.96134436,0.1929794,-0.9489593,0.11476019
8,16,91,41,0.053812593,0.25797012,-0.63898927,-0.12689066,-0.08146902,-0.26688412
9,16,35,156,0.017712556,0.045040596,-0.6872257,0.37999427,-0.39421418,-0.14317034
10,16,180,135,0.8817059,0.51641315,-0.25495088,-1.4747525,1.3280826,-1.2825181
11,16,134,38,0.018996557,0.023202453,-0.7001122,0.54343283,-1.0729629,-0.4949666
12,16,76,61,0.030953772,0.67139876,-0.5973958,0.72326016,-0.11355809,0.10917339
13,16,145,107,0.8123278,0.7232727,-0.53608423,-1.1281594,-1.5056685,-0.683354
14,16,93,163,0.17429201,0.04793265,-0.09759905,-0.50398046,-0.26558393,-0.3083623
15,16,135,39,0.012950427,0.5470955,-0.65733755,0.3361088,1.7116605,0.73706716
16,16,19,55,0.036387913,0.06403413,-0.62658805,-0.730439,-0.46670467,-0.58545357
17,16,166,124,0.6552129,0.12754822,-0.4870877,0.12305768,-0.40974185,0.0005234355
18,16,65,95,0.9644613,0.96639156,0.25245714,-0.24580105,-2.9539368,-0.6259032
19,16,77,110,0.45831835,0.62057006,-0.8223605,1.0219101,0.25434232,0.38721383
